layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
decoder4,noise,enhancing_fraction,Enhancing fraction,5,0.0031313845439762266,0.0021167402323277944,0.2463861655845238,0.24850290581685158
decoder4,noise,necrosis_fraction,Necrosis fraction,6,0.00226027544478047,-0.00017483922557346592,0.13563365453719345,0.13545881531162
decoder4,noise,centroid_z,Centroid Z (normalized),7,0.001352658231589072,-0.0011812200126242306,0.5049611454662892,0.5037799254536649
decoder4,noise,dice,Dice,8,-0.0015923212195293039,0.0015923212195293039,0.8887710221203972,0.8903633433399264
decoder4,noise,false_positive_voxels,False-positive voxels,9,-97.096,-97.096,1036.744,939.648
decoder4,zero,tumor_volume,Tumor volume (pred WT voxels),1,174.55733333333333,-165.36266666666666,11640.925333333333,11475.562666666667
decoder4,zero,false_negative_voxels,False-negative voxels,2,68.06933333333333,68.06933333333333,998.28,1066.3493333333333
decoder4,zero,boundary_complexity,Boundary complexity,3,0.06540270843918658,-0.045304774328885355,6.174654469857373,6.129349695528488
decoder4,zero,edema_fraction,Edema fraction,4,0.0046083751550044,-0.001924958794884664,0.6179801798768801,0.6160552210819955
decoder4,zero,enhancing_fraction,Enhancing fraction,5,0.00312614723069479,0.0021025883890069736,0.2463861655845238,0.24848875397353076
decoder4,zero,necrosis_fraction,Necrosis fraction,6,0.00225697453392558,-0.0001776295941614199,0.13563365453719345,0.13545602494303205
decoder4,zero,centroid_z,Centroid Z (normalized),7,0.00134643604680064,-0.0011760798282737014,0.5049611454662892,0.5037850656380155
decoder4,zero,dice,Dice,8,-0.0015968521136872616,0.0015968521136872616,0.8887710221203972,0.8903678742340844
decoder4,zero,false_positive_voxels,False-positive voxels,9,-97.29333333333334,-97.29333333333334,1036.744,939.4506666666666
encoder1,mean,tumor_volume,Tumor volume (pred WT voxels),1,7879.482666666667,-7745.317333333333,11640.925333333333,3895.608
encoder1,mean,false_negative_voxels,False-negative voxels,2,7287.818666666667,7287.818666666667,998.28,8286.098666666667
encoder1,mean,boundary_complexity,Boundary complexity,3,1.8873048552458782,-1.0502955841917032,6.174654469857373,5.12435888566567
encoder1,mean,edema_fraction,Edema fraction,4,0.5180221155034366,-0.5180221155034366,0.6179801798768801,0.09995806437344357
encoder1,mean,dice,Dice,5,0.49849900506772593,-0.49849900506772593,0.8887710221203972,0.39027201705267117
encoder1,mean,necrosis_fraction,Necrosis fraction,6,0.4968797675295964,0.4968797675295964,0.13563365453719345,0.6325134220667898
encoder1,mean,enhancing_fraction,Enhancing fraction,7,0.1461439594251352,0.021142347958629563,0.2463861655845238,0.2675285135431534
encoder1,mean,centroid_z,Centroid Z (normalized),8,0.036275937548229234,0.009715075249345215,0.5049611454662892,0.5146762207156343
encoder1,mean,false_positive_voxels,False-positive voxels,9,-457.4986666666667,-457.4986666666667,1036.744,579.2453333333333
encoder1,noise,tumor_volume,Tumor volume (pred WT voxels),1,8165.648,-7916.101333333333,11640.925333333333,3724.824
encoder1,noise,false_negative_voxels,False-negative voxels,2,7529.962666666666,7529.962666666666,998.28,8528.242666666667
encoder1,noise,boundary_complexity,Boundary complexity,3,2.028110861121292,-0.8020002017899406,6.174654469857373,5.372654268067433
encoder1,noise,edema_fraction,Edema fraction,4,0.554749734245884,-0.5546554686243069,0.6179801798768801,0.0633247112525733
encoder1,noise,dice,Dice,5,0.513039441778363,-0.513039441778363,0.8887710221203972,0.3757315803420341
encoder1,noise,necrosis_fraction,Necrosis fraction,6,0.4404996592338175,0.4404996592338175,0.13563365453719345,0.576133313771011
encoder1,noise,enhancing_fraction,Enhancing fraction,7,0.1737329793048369,0.11415580937578942,0.2463861655845238,0.3605419749603132
encoder1,noise,centroid_z,Centroid Z (normalized),8,0.03904174542227993,0.010440910677075112,0.5049611454662892,0.5154020561433643
encoder1,noise,false_positive_voxels,False-positive voxels,9,-386.13866666666667,-386.13866666666667,1036.744,650.6053333333333
encoder1,zero,tumor_volume,Tumor volume (pred WT voxels),1,7864.421333333334,-7776.170666666667,11640.925333333333,3864.7546666666667
encoder1,zero,false_negative_voxels,False-negative voxels,2,7268.250666666667,7268.250666666667,998.28,8266.530666666667
encoder1,zero,boundary_complexity,Boundary complexity,3,1.8312815675052134,-1.129526508256441,6.174654469857373,5.045127961600932
encoder1,zero,edema_fraction,Edema fraction,4,0.5132692227323215,-0.5130001699801627,0.6179801798768801,0.10498000989671738
encoder1,zero,dice,Dice,5,0.4965330720334387,-0.4965330720334387,0.8887710221203972,0.39223795008695833
encoder1,zero,necrosis_fraction,Necrosis fraction,6,0.4860175497435169,0.4860175497435169,0.13563365453719345,0.6216512042807103
encoder1,zero,enhancing_fraction,Enhancing fraction,7,0.14872553515226564,0.02698262022181126,0.2463861655845238,0.27336878580633506
encoder1,zero,centroid_z,Centroid Z (normalized),8,0.028639165990899017,-0.0033384155145808076,0.5049611454662892,0.5016227299517084
encoder1,zero,false_positive_voxels,False-positive voxels,9,-507.92,-507.92,1036.744,528.824
encoder2,mean,tumor_volume,Tumor volume (pred WT voxels),1,9373.277333333333,8793.965333333334,11640.925333333333,20434.890666666666
encoder2,mean,false_positive_voxels,False-positive voxels,2,8712.557333333334,8712.557333333334,1036.744,9749.301333333333
encoder2,mean,boundary_complexity,Boundary complexity,3,5.5089067832008425,5.5089067832008425,6.174654469857373,11.683561253058217
encoder2,mean,dice,Dice,4,0.27290801267970105,-0.27290801267970105,0.8887710221203972,0.615863009440696
encoder2,mean,edema_fraction,Edema fraction,5,0.10580157435200759,-0.03261206677582913,0.6179801798768801,0.585368113101051
encoder2,mean,necrosis_fraction,Necrosis fraction,6,0.08180179935952335,0.03527124292600876,0.13563365453719345,0.1709048974632022
encoder2,mean,enhancing_fraction,Enhancing fraction,7,0.07458065225039551,-0.002659176149341485,0.2463861655845238,0.2437269894351823
encoder2,mean,centroid_z,Centroid Z (normalized),8,0.060957372352656386,0.006384680208792443,0.5049611454662892,0.5113458256750817
encoder2,mean,false_negative_voxels,False-negative voxels,9,-81.408,-81.408,998.28,916.872
encoder2,noise,tumor_volume,Tumor volume (pred WT voxels),1,11566.061333333333,10967.330666666667,11640.925333333333,22608.256
encoder2,noise,false_positive_voxels,False-positive voxels,2,10795.962666666666,10795.962666666666,1036.744,11832.706666666667
encoder2,noise,boundary_complexity,Boundary complexity,3,6.273797144473795,6.273797144473795,6.174654469857373,12.448451614331168
encoder2,noise,dice,Dice,4,0.30206728549864065,-0.30206728549864065,0.8887710221203972,0.5867037366217565
encoder2,noise,edema_fraction,Edema fraction,5,0.1163910244548785,-0.0648371334083235,0.6179801798768801,0.5531430464685566
encoder2,noise,necrosis_fraction,Necrosis fraction,6,0.10355510746391837,0.06528632966151801,0.13563365453719345,0.2009199841987115
encoder2,noise,enhancing_fraction,Enhancing fraction,7,0.07940967251018015,-0.0004491962523122032,0.2463861655845238,0.2459369693322116
encoder2,noise,centroid_z,Centroid Z (normalized),8,0.06929500320053034,0.01056002657040755,0.5049611454662892,0.5155211720366967
encoder2,noise,false_negative_voxels,False-negative voxels,9,-171.368,-171.368,998.28,826.912
encoder2,zero,tumor_volume,Tumor volume (pred WT voxels),1,14109.818666666666,13730.528,11640.925333333333,25371.453333333335
encoder2,zero,false_positive_voxels,False-positive voxels,2,13550.968,13550.968,1036.744,14587.712
encoder2,zero,boundary_complexity,Boundary complexity,3,7.004811991643145,7.004811991643145,6.174654469857373,13.179466461500517
encoder2,zero,dice,Dice,4,0.3463558816192536,-0.3463558816192536,0.8887710221203972,0.5424151405011435
encoder2,zero,edema_fraction,Edema fraction,5,0.1382191527924526,-0.09893531937248667,0.6179801798768801,0.5190448605043935
encoder2,zero,necrosis_fraction,Necrosis fraction,6,0.1287085381534168,0.10534859806618412,0.13563365453719345,0.2409822526033776
encoder2,zero,enhancing_fraction,Enhancing fraction,7,0.08527851145901835,-0.006413278692732094,0.2463861655845238,0.23997288689179172
encoder2,zero,centroid_z,Centroid Z (normalized),8,0.07947863818987984,0.0071624391527572535,0.5049611454662892,0.5121235846190464
encoder2,zero,false_negative_voxels,False-negative voxels,9,-179.56,-179.56,998.28,818.72
encoder3,mean,tumor_volume,Tumor volume (pred WT voxels),1,809.56,687.5173333333333,11640.925333333333,12328.442666666666
encoder3,mean,false_positive_voxels,False-positive voxels,2,583.112,583.112,1036.744,1619.856
encoder3,mean,boundary_complexity,Boundary complexity,3,0.3332659679169854,0.262300167383958,6.174654469857373,6.43695463724133
encoder3,mean,edema_fraction,Edema fraction,4,0.03187878436712408,-0.0024769575509781512,0.6179801798768801,0.615503222325902
encoder3,mean,dice,Dice,5,0.027354734036711667,-0.027354734036711667,0.8887710221203972,0.8614162880836854
encoder3,mean,necrosis_fraction,Necrosis fraction,6,0.021256231408380656,0.009973479756327818,0.13563365453719345,0.14560713429352126
encoder3,mean,enhancing_fraction,Enhancing fraction,7,0.015402076818636421,-0.007496522205153405,0.2463861655845238,0.23888964337937038
encoder3,mean,centroid_z,Centroid Z (normalized),8,0.004887404542532447,0.0006037899769678598,0.5049611454662892,0.5055649354432571
encoder3,mean,false_negative_voxels,False-negative voxels,9,-104.40533333333333,-104.40533333333333,998.28,893.8746666666667
encoder3,noise,tumor_volume,Tumor volume (pred WT voxels),1,630.688,442.72,11640.925333333333,12083.645333333334
encoder3,noise,false_positive_voxels,False-positive voxels,2,399.2373333333333,399.2373333333333,1036.744,1435.9813333333334
encoder3,noise,boundary_complexity,Boundary complexity,3,0.2601044226398531,0.17859157774711798,6.174654469857373,6.3532460476044905
encoder3,noise,edema_fraction,Edema fraction,4,0.026768435811181376,-0.0017069074882442364,0.6179801798768801,0.6162732723886359
encoder3,noise,dice,Dice,5,0.02073426376725462,-0.02073426376725462,0.8887710221203972,0.8680367583531424
encoder3,noise,necrosis_fraction,Necrosis fraction,6,0.018172857222506812,0.00812162822191163,0.13563365453719345,0.1437552827591051
encoder3,noise,enhancing_fraction,Enhancing fraction,7,0.012689784905981905,-0.006414720733520133,0.2463861655845238,0.2399714448510037
encoder3,noise,centroid_z,Centroid Z (normalized),8,0.00399783565801052,-0.00012459924639951093,0.5049611454662892,0.5048365462198897
encoder3,noise,false_negative_voxels,False-negative voxels,9,-43.48266666666667,-43.48266666666667,998.28,954.7973333333333
encoder3,zero,tumor_volume,Tumor volume (pred WT voxels),1,735.792,402.51733333333334,11640.925333333333,12043.442666666666
encoder3,zero,false_positive_voxels,False-positive voxels,2,418.70666666666665,418.70666666666665,1036.744,1455.4506666666666
encoder3,zero,false_negative_voxels,False-negative voxels,3,16.189333333333334,16.189333333333334,998.28,1014.4693333333333
encoder3,zero,boundary_complexity,Boundary complexity,4,0.2794446673251425,0.1964581677378457,6.174654469857373,6.371112637595219
encoder3,zero,edema_fraction,Edema fraction,5,0.029270808186637562,-0.0031253447845557905,0.6179801798768801,0.6148548350923243
encoder3,zero,dice,Dice,6,0.024174860277332642,-0.024174860277332642,0.8887710221203972,0.8645961618430644
encoder3,zero,necrosis_fraction,Necrosis fraction,7,0.0196141360817056,0.009414568632497204,0.13563365453719345,0.14504822316969065
encoder3,zero,enhancing_fraction,Enhancing fraction,8,0.01384325611151261,-0.006289223847793842,0.2463861655845238,0.24009694173672994
encoder3,zero,centroid_z,Centroid Z (normalized),9,0.004186717020954819,-0.0005529684137952389,0.5049611454662892,0.504408177052494
encoder4,mean,tumor_volume,Tumor volume (pred WT voxels),1,96.53866666666667,-53.898666666666664,11640.925333333333,11587.026666666667
encoder4,mean,false_negative_voxels,False-negative voxels,2,26.584,26.584,998.28,1024.864
encoder4,mean,boundary_complexity,Boundary complexity,3,0.051692884093341024,-0.006241848388529109,6.174654469857373,6.168412621468844
encoder4,mean,edema_fraction,Edema fraction,4,0.0032895922256929466,-0.0003225388877822653,0.6179801798768801,0.6176576409890979
encoder4,mean,enhancing_fraction,Enhancing fraction,5,0.0023034969696815607,0.00045434022676982787,0.2463861655845238,0.2468405058112936
encoder4,mean,necrosis_fraction,Necrosis fraction,6,0.00146532471900394,-0.0001318013389952171,0.13563365453719345,0.13550185319819824
encoder4,mean,centroid_z,Centroid Z (normalized),7,0.0011080525360390677,-0.00028177434963253006,0.5049611454662892,0.5046793711166566
encoder4,mean,dice,Dice,8,0.0005439953560386296,-0.0005439953560386296,0.8887710221203972,0.8882270267643585
encoder4,mean,false_positive_voxels,False-positive voxels,9,-27.314666666666668,-27.314666666666668,1036.744,1009.4293333333334
encoder4,noise,tumor_volume,Tumor volume (pred WT voxels),1,174.352,-113.62133333333334,11640.925333333333,11527.304
encoder4,noise,false_negative_voxels,False-negative voxels,2,52.504,52.504,998.28,1050.784
encoder4,noise,boundary_complexity,Boundary complexity,3,0.0816459298657888,-0.02448804110844633,6.174654469857373,6.150166428748927
encoder4,noise,edema_fraction,Edema fraction,4,0.004966232031608042,-2.4881357926876883e-05,0.6179801798768801,0.6179552985189533
encoder4,noise,enhancing_fraction,Enhancing fraction,5,0.0033668608586454245,0.0007915918714014565,0.2463861655845238,0.24717775745592527
encoder4,noise,necrosis_fraction,Necrosis fraction,6,0.00237900885755972,-0.0007667105134945976,0.13563365453719345,0.13486694402369886
encoder4,noise,centroid_z,Centroid Z (normalized),7,0.0015452068240020076,-0.00027123526031019727,0.5049611454662892,0.504689910205979
encoder4,noise,dice,Dice,8,-9.523844904300464e-05,9.523844904300464e-05,0.8887710221203972,0.8888662605694402
encoder4,noise,false_positive_voxels,False-positive voxels,9,-61.117333333333335,-61.117333333333335,1036.744,975.6266666666667
encoder4,zero,tumor_volume,Tumor volume (pred WT voxels),1,182.29066666666668,-120.856,11640.925333333333,11520.069333333333
encoder4,zero,false_negative_voxels,False-negative voxels,2,57.584,57.584,998.28,1055.864
encoder4,zero,boundary_complexity,Boundary complexity,3,0.08300410488631157,-0.02627793228420476,6.174654469857373,6.148376537573169
encoder4,zero,edema_fraction,Edema fraction,4,0.005054404928928672,-1.3454318612203142e-05,0.6179801798768801,0.6179667255582679
encoder4,zero,enhancing_fraction,Enhancing fraction,5,0.0033922316072180396,0.0008257627572700336,0.2463861655845238,0.24721192834179384
encoder4,zero,necrosis_fraction,Necrosis fraction,6,0.0024786512184637203,-0.0008123084386783539,0.13563365453719345,0.1348213460985151
encoder4,zero,centroid_z,Centroid Z (normalized),7,0.0015668463163063973,-0.00033647031261645194,0.5049611454662892,0.5046246751536727
encoder4,zero,dice,Dice,8,-1.7369236222167572e-05,1.7369236222167572e-05,0.8887710221203972,0.8887883913566192
encoder4,zero,false_positive_voxels,False-positive voxels,9,-63.272,-63.272,1036.744,973.472
