outer_fold,model_seed,failure_def,selected_mode,n_features,feature,selected
2,42,mean_fg_lt_0.70,all,,relative_gap_gt_compactness,1.0
2,42,mean_fg_lt_0.70,all,,relative_gap_gt_edema_frac,1.0
2,42,mean_fg_lt_0.70,all,,relative_gap_gt_enhancing_frac,1.0
2,42,mean_fg_lt_0.70,all,,relative_gap_gt_necrosis_frac,1.0
2,42,mean_fg_lt_0.70,all,,relative_gap_log_wt_volume,1.0
2,42,mean_fg_lt_0.70,all,,signed_gap_gt_compactness,1.0
2,42,mean_fg_lt_0.70,all,,signed_gap_gt_edema_frac,1.0
2,42,mean_fg_lt_0.70,all,,signed_gap_gt_enhancing_frac,1.0
2,42,mean_fg_lt_0.70,all,,signed_gap_gt_necrosis_frac,1.0
2,42,mean_fg_lt_0.70,all,,signed_gap_log_wt_volume,1.0
2,42,mean_fg_lt_0.70,all,,standardized_gap_gt_compactness,1.0
2,42,mean_fg_lt_0.70,all,,standardized_gap_gt_edema_frac,1.0
2,42,mean_fg_lt_0.70,all,,standardized_gap_gt_enhancing_frac,1.0
2,42,mean_fg_lt_0.70,all,,standardized_gap_gt_necrosis_frac,1.0
2,42,mean_fg_lt_0.70,all,,standardized_gap_log_wt_volume,1.0
2,42,edema_lt_0.70,all,20.0,,
2,42,edema_lt_0.70,all,,absolute_gap_gt_compactness,1.0
2,42,edema_lt_0.70,all,,absolute_gap_gt_edema_frac,1.0
2,42,edema_lt_0.70,all,,absolute_gap_gt_enhancing_frac,1.0
2,42,edema_lt_0.70,all,,absolute_gap_gt_necrosis_frac,1.0
2,42,edema_lt_0.70,all,,absolute_gap_log_wt_volume,1.0
2,42,edema_lt_0.70,all,,relative_gap_gt_compactness,1.0
2,42,edema_lt_0.70,all,,relative_gap_gt_edema_frac,1.0
2,42,edema_lt_0.70,all,,relative_gap_gt_enhancing_frac,1.0
2,42,edema_lt_0.70,all,,relative_gap_gt_necrosis_frac,1.0
2,42,edema_lt_0.70,all,,relative_gap_log_wt_volume,1.0
2,42,edema_lt_0.70,all,,signed_gap_gt_compactness,1.0
2,42,edema_lt_0.70,all,,signed_gap_gt_edema_frac,1.0
2,42,edema_lt_0.70,all,,signed_gap_gt_enhancing_frac,1.0
2,42,edema_lt_0.70,all,,signed_gap_gt_necrosis_frac,1.0
2,42,edema_lt_0.70,all,,signed_gap_log_wt_volume,1.0
2,42,edema_lt_0.70,all,,standardized_gap_gt_compactness,1.0
2,42,edema_lt_0.70,all,,standardized_gap_gt_edema_frac,1.0
2,42,edema_lt_0.70,all,,standardized_gap_gt_enhancing_frac,1.0
2,42,edema_lt_0.70,all,,standardized_gap_gt_necrosis_frac,1.0
2,42,edema_lt_0.70,all,,standardized_gap_log_wt_volume,1.0
2,42,lowest20_edema,all,20.0,,
2,42,lowest20_edema,all,,absolute_gap_gt_compactness,1.0
2,42,lowest20_edema,all,,absolute_gap_gt_edema_frac,1.0
2,42,lowest20_edema,all,,absolute_gap_gt_enhancing_frac,1.0
2,42,lowest20_edema,all,,absolute_gap_gt_necrosis_frac,1.0
2,42,lowest20_edema,all,,absolute_gap_log_wt_volume,1.0
2,42,lowest20_edema,all,,relative_gap_gt_compactness,1.0
2,42,lowest20_edema,all,,relative_gap_gt_edema_frac,1.0
2,42,lowest20_edema,all,,relative_gap_gt_enhancing_frac,1.0
2,42,lowest20_edema,all,,relative_gap_gt_necrosis_frac,1.0
2,42,lowest20_edema,all,,relative_gap_log_wt_volume,1.0
2,42,lowest20_edema,all,,signed_gap_gt_compactness,1.0
2,42,lowest20_edema,all,,signed_gap_gt_edema_frac,1.0
2,42,lowest20_edema,all,,signed_gap_gt_enhancing_frac,1.0
2,42,lowest20_edema,all,,signed_gap_gt_necrosis_frac,1.0
2,42,lowest20_edema,all,,signed_gap_log_wt_volume,1.0
2,42,lowest20_edema,all,,standardized_gap_gt_compactness,1.0
2,42,lowest20_edema,all,,standardized_gap_gt_edema_frac,1.0
2,42,lowest20_edema,all,,standardized_gap_gt_enhancing_frac,1.0
2,42,lowest20_edema,all,,standardized_gap_gt_necrosis_frac,1.0
2,42,lowest20_edema,all,,standardized_gap_log_wt_volume,1.0
3,42,lowest20_mean_fg,all,20.0,,
3,42,lowest20_mean_fg,all,,absolute_gap_gt_compactness,1.0
3,42,lowest20_mean_fg,all,,absolute_gap_gt_edema_frac,1.0
3,42,lowest20_mean_fg,all,,absolute_gap_gt_enhancing_frac,1.0
3,42,lowest20_mean_fg,all,,absolute_gap_gt_necrosis_frac,1.0
3,42,lowest20_mean_fg,all,,absolute_gap_log_wt_volume,1.0
3,42,lowest20_mean_fg,all,,relative_gap_gt_compactness,1.0
3,42,lowest20_mean_fg,all,,relative_gap_gt_edema_frac,1.0
3,42,lowest20_mean_fg,all,,relative_gap_gt_enhancing_frac,1.0
3,42,lowest20_mean_fg,all,,relative_gap_gt_necrosis_frac,1.0
3,42,lowest20_mean_fg,all,,relative_gap_log_wt_volume,1.0
3,42,lowest20_mean_fg,all,,signed_gap_gt_compactness,1.0
3,42,lowest20_mean_fg,all,,signed_gap_gt_edema_frac,1.0
3,42,lowest20_mean_fg,all,,signed_gap_gt_enhancing_frac,1.0
3,42,lowest20_mean_fg,all,,signed_gap_gt_necrosis_frac,1.0
3,42,lowest20_mean_fg,all,,signed_gap_log_wt_volume,1.0
3,42,lowest20_mean_fg,all,,standardized_gap_gt_compactness,1.0
3,42,lowest20_mean_fg,all,,standardized_gap_gt_edema_frac,1.0
3,42,lowest20_mean_fg,all,,standardized_gap_gt_enhancing_frac,1.0
3,42,lowest20_mean_fg,all,,standardized_gap_gt_necrosis_frac,1.0
3,42,lowest20_mean_fg,all,,standardized_gap_log_wt_volume,1.0
3,42,mean_fg_lt_0.80,elasticnet,7.0,,
3,42,mean_fg_lt_0.80,elasticnet,,absolute_gap_gt_compactness,1.0
3,42,mean_fg_lt_0.80,elasticnet,,relative_gap_gt_edema_frac,1.0
3,42,mean_fg_lt_0.80,elasticnet,,relative_gap_gt_enhancing_frac,1.0
3,42,mean_fg_lt_0.80,elasticnet,,relative_gap_log_wt_volume,1.0
3,42,mean_fg_lt_0.80,elasticnet,,signed_gap_gt_edema_frac,1.0
3,42,mean_fg_lt_0.80,elasticnet,,signed_gap_gt_enhancing_frac,1.0
3,42,mean_fg_lt_0.80,elasticnet,,standardized_gap_gt_compactness,1.0
3,42,mean_fg_lt_0.70,elasticnet,20.0,,
3,42,mean_fg_lt_0.70,elasticnet,,absolute_gap_gt_compactness,1.0
3,42,mean_fg_lt_0.70,elasticnet,,absolute_gap_gt_edema_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,absolute_gap_gt_enhancing_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,absolute_gap_gt_necrosis_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,absolute_gap_log_wt_volume,1.0
3,42,mean_fg_lt_0.70,elasticnet,,relative_gap_gt_compactness,1.0
3,42,mean_fg_lt_0.70,elasticnet,,relative_gap_gt_edema_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,relative_gap_gt_enhancing_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,relative_gap_gt_necrosis_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,relative_gap_log_wt_volume,1.0
3,42,mean_fg_lt_0.70,elasticnet,,signed_gap_gt_compactness,1.0
3,42,mean_fg_lt_0.70,elasticnet,,signed_gap_gt_edema_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,signed_gap_gt_enhancing_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,signed_gap_gt_necrosis_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,signed_gap_log_wt_volume,1.0
3,42,mean_fg_lt_0.70,elasticnet,,standardized_gap_gt_compactness,1.0
3,42,mean_fg_lt_0.70,elasticnet,,standardized_gap_gt_edema_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,standardized_gap_gt_enhancing_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,standardized_gap_gt_necrosis_frac,1.0
3,42,mean_fg_lt_0.70,elasticnet,,standardized_gap_log_wt_volume,1.0
3,42,edema_lt_0.70,all,20.0,,
3,42,edema_lt_0.70,all,,absolute_gap_gt_compactness,1.0
3,42,edema_lt_0.70,all,,absolute_gap_gt_edema_frac,1.0
3,42,edema_lt_0.70,all,,absolute_gap_gt_enhancing_frac,1.0
3,42,edema_lt_0.70,all,,absolute_gap_gt_necrosis_frac,1.0
3,42,edema_lt_0.70,all,,absolute_gap_log_wt_volume,1.0
3,42,edema_lt_0.70,all,,relative_gap_gt_compactness,1.0
3,42,edema_lt_0.70,all,,relative_gap_gt_edema_frac,1.0
3,42,edema_lt_0.70,all,,relative_gap_gt_enhancing_frac,1.0
3,42,edema_lt_0.70,all,,relative_gap_gt_necrosis_frac,1.0
3,42,edema_lt_0.70,all,,relative_gap_log_wt_volume,1.0
3,42,edema_lt_0.70,all,,signed_gap_gt_compactness,1.0
3,42,edema_lt_0.70,all,,signed_gap_gt_edema_frac,1.0
3,42,edema_lt_0.70,all,,signed_gap_gt_enhancing_frac,1.0
3,42,edema_lt_0.70,all,,signed_gap_gt_necrosis_frac,1.0
3,42,edema_lt_0.70,all,,signed_gap_log_wt_volume,1.0
3,42,edema_lt_0.70,all,,standardized_gap_gt_compactness,1.0
3,42,edema_lt_0.70,all,,standardized_gap_gt_edema_frac,1.0
3,42,edema_lt_0.70,all,,standardized_gap_gt_enhancing_frac,1.0
3,42,edema_lt_0.70,all,,standardized_gap_gt_necrosis_frac,1.0
3,42,edema_lt_0.70,all,,standardized_gap_log_wt_volume,1.0
3,42,lowest20_edema,elasticnet,14.0,,
3,42,lowest20_edema,elasticnet,,absolute_gap_gt_compactness,1.0
3,42,lowest20_edema,elasticnet,,absolute_gap_gt_enhancing_frac,1.0
3,42,lowest20_edema,elasticnet,,absolute_gap_gt_necrosis_frac,1.0
3,42,lowest20_edema,elasticnet,,relative_gap_gt_edema_frac,1.0
3,42,lowest20_edema,elasticnet,,relative_gap_gt_enhancing_frac,1.0
3,42,lowest20_edema,elasticnet,,relative_gap_gt_necrosis_frac,1.0
3,42,lowest20_edema,elasticnet,,relative_gap_log_wt_volume,1.0
3,42,lowest20_edema,elasticnet,,signed_gap_gt_compactness,1.0
3,42,lowest20_edema,elasticnet,,signed_gap_gt_edema_frac,1.0
3,42,lowest20_edema,elasticnet,,signed_gap_gt_enhancing_frac,1.0
3,42,lowest20_edema,elasticnet,,signed_gap_log_wt_volume,1.0
3,42,lowest20_edema,elasticnet,,standardized_gap_gt_compactness,1.0
3,42,lowest20_edema,elasticnet,,standardized_gap_gt_enhancing_frac,1.0
3,42,lowest20_edema,elasticnet,,standardized_gap_gt_necrosis_frac,1.0
4,42,lowest20_mean_fg,all,20.0,,
4,42,lowest20_mean_fg,all,,absolute_gap_gt_compactness,1.0
4,42,lowest20_mean_fg,all,,absolute_gap_gt_edema_frac,1.0
4,42,lowest20_mean_fg,all,,absolute_gap_gt_enhancing_frac,1.0
4,42,lowest20_mean_fg,all,,absolute_gap_gt_necrosis_frac,1.0
4,42,lowest20_mean_fg,all,,absolute_gap_log_wt_volume,1.0
4,42,lowest20_mean_fg,all,,relative_gap_gt_compactness,1.0
4,42,lowest20_mean_fg,all,,relative_gap_gt_edema_frac,1.0
4,42,lowest20_mean_fg,all,,relative_gap_gt_enhancing_frac,1.0
4,42,lowest20_mean_fg,all,,relative_gap_gt_necrosis_frac,1.0
4,42,lowest20_mean_fg,all,,relative_gap_log_wt_volume,1.0
4,42,lowest20_mean_fg,all,,signed_gap_gt_compactness,1.0
4,42,lowest20_mean_fg,all,,signed_gap_gt_edema_frac,1.0
4,42,lowest20_mean_fg,all,,signed_gap_gt_enhancing_frac,1.0
4,42,lowest20_mean_fg,all,,signed_gap_gt_necrosis_frac,1.0
4,42,lowest20_mean_fg,all,,signed_gap_log_wt_volume,1.0
4,42,lowest20_mean_fg,all,,standardized_gap_gt_compactness,1.0
4,42,lowest20_mean_fg,all,,standardized_gap_gt_edema_frac,1.0
4,42,lowest20_mean_fg,all,,standardized_gap_gt_enhancing_frac,1.0
4,42,lowest20_mean_fg,all,,standardized_gap_gt_necrosis_frac,1.0
4,42,lowest20_mean_fg,all,,standardized_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.80,elasticnet,20.0,,
4,42,mean_fg_lt_0.80,elasticnet,,absolute_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.80,elasticnet,,absolute_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,absolute_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,absolute_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,absolute_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.80,elasticnet,,relative_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.80,elasticnet,,relative_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,relative_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,relative_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,relative_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.80,elasticnet,,signed_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.80,elasticnet,,signed_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,signed_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,signed_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,signed_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.80,elasticnet,,standardized_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.80,elasticnet,,standardized_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,standardized_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,standardized_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.80,elasticnet,,standardized_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.70,all,20.0,,
4,42,mean_fg_lt_0.70,all,,absolute_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.70,all,,absolute_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.70,all,,absolute_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.70,all,,absolute_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.70,all,,absolute_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.70,all,,relative_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.70,all,,relative_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.70,all,,relative_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.70,all,,relative_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.70,all,,relative_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.70,all,,signed_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.70,all,,signed_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.70,all,,signed_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.70,all,,signed_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.70,all,,signed_gap_log_wt_volume,1.0
4,42,mean_fg_lt_0.70,all,,standardized_gap_gt_compactness,1.0
4,42,mean_fg_lt_0.70,all,,standardized_gap_gt_edema_frac,1.0
4,42,mean_fg_lt_0.70,all,,standardized_gap_gt_enhancing_frac,1.0
4,42,mean_fg_lt_0.70,all,,standardized_gap_gt_necrosis_frac,1.0
4,42,mean_fg_lt_0.70,all,,standardized_gap_log_wt_volume,1.0
4,42,edema_lt_0.70,elasticnet,12.0,,
4,42,edema_lt_0.70,elasticnet,,absolute_gap_gt_compactness,1.0
4,42,edema_lt_0.70,elasticnet,,absolute_gap_gt_necrosis_frac,1.0
4,42,edema_lt_0.70,elasticnet,,relative_gap_gt_edema_frac,1.0
4,42,edema_lt_0.70,elasticnet,,relative_gap_gt_enhancing_frac,1.0
4,42,edema_lt_0.70,elasticnet,,relative_gap_log_wt_volume,1.0
4,42,edema_lt_0.70,elasticnet,,signed_gap_gt_compactness,1.0
4,42,edema_lt_0.70,elasticnet,,signed_gap_gt_edema_frac,1.0
4,42,edema_lt_0.70,elasticnet,,signed_gap_gt_enhancing_frac,1.0
4,42,edema_lt_0.70,elasticnet,,signed_gap_gt_necrosis_frac,1.0
4,42,edema_lt_0.70,elasticnet,,signed_gap_log_wt_volume,1.0
4,42,edema_lt_0.70,elasticnet,,standardized_gap_gt_compactness,1.0
4,42,edema_lt_0.70,elasticnet,,standardized_gap_gt_necrosis_frac,1.0
4,42,lowest20_edema,elasticnet,20.0,,
4,42,lowest20_edema,elasticnet,,absolute_gap_gt_compactness,1.0
4,42,lowest20_edema,elasticnet,,absolute_gap_gt_edema_frac,1.0
4,42,lowest20_edema,elasticnet,,absolute_gap_gt_enhancing_frac,1.0
4,42,lowest20_edema,elasticnet,,absolute_gap_gt_necrosis_frac,1.0
4,42,lowest20_edema,elasticnet,,absolute_gap_log_wt_volume,1.0
4,42,lowest20_edema,elasticnet,,relative_gap_gt_compactness,1.0
4,42,lowest20_edema,elasticnet,,relative_gap_gt_edema_frac,1.0
4,42,lowest20_edema,elasticnet,,relative_gap_gt_enhancing_frac,1.0
4,42,lowest20_edema,elasticnet,,relative_gap_gt_necrosis_frac,1.0
4,42,lowest20_edema,elasticnet,,relative_gap_log_wt_volume,1.0
4,42,lowest20_edema,elasticnet,,signed_gap_gt_compactness,1.0
4,42,lowest20_edema,elasticnet,,signed_gap_gt_edema_frac,1.0
4,42,lowest20_edema,elasticnet,,signed_gap_gt_enhancing_frac,1.0
4,42,lowest20_edema,elasticnet,,signed_gap_gt_necrosis_frac,1.0
4,42,lowest20_edema,elasticnet,,signed_gap_log_wt_volume,1.0
4,42,lowest20_edema,elasticnet,,standardized_gap_gt_compactness,1.0
4,42,lowest20_edema,elasticnet,,standardized_gap_gt_edema_frac,1.0
4,42,lowest20_edema,elasticnet,,standardized_gap_gt_enhancing_frac,1.0
4,42,lowest20_edema,elasticnet,,standardized_gap_gt_necrosis_frac,1.0
4,42,lowest20_edema,elasticnet,,standardized_gap_log_wt_volume,1.0
